year,bangumi_id,title_cn,title,platform,reason,bangumi_url
1962,634857,啄木鸟,Landing Stripling,Movie,country_unknown,https://bgm.tv/subject/634857
1962,634854,太空漫步,Mouse into Space,Movie,country_unknown,https://bgm.tv/subject/634854
1962,634853,庭院烧烤,High Steaks,Movie,country_unknown,https://bgm.tv/subject/634853
1962,212454,人间动物园,人間動物園,Movie,country_unknown,https://bgm.tv/subject/212454
1962,136881,飞人,The Flying Man,Movie,country_unknown,https://bgm.tv/subject/136881
1962,136907,,Le Concert de M. et Mme Kabal,Movie,country_unknown,https://bgm.tv/subject/136907
1962,132395,洞,The Hole,Movie,country_unknown,https://bgm.tv/subject/132395
1962,381057,野天鹅,Дикие лебеди,Movie,country_unknown,https://bgm.tv/subject/381057
1963,262852,顶层公寓里的老鼠,Pent-House Mouse,Movie,country_unknown,https://bgm.tv/subject/262852
1963,112689,杰逊王子战群妖,Jason and the Argonauts,Movie,country_unknown,https://bgm.tv/subject/112689
1963,132397,评论家,The Critic,Movie,country_unknown,https://bgm.tv/subject/132397
1963,136860,鼻子,Le Nez,Movie,country_unknown,https://bgm.tv/subject/136860
1963,137385,玩具大劫案,The Great Toy Robbery,Movie,country_unknown,https://bgm.tv/subject/137385
1963,137429,爱,愛,Movie,country_unknown,https://bgm.tv/subject/137429
1963,172827,孔雀公主,孔雀公主,Movie,country_unknown,https://bgm.tv/subject/172827
1963,370442,重生,Renaissance by Walerian Borowczyk,Movie,country_unknown,https://bgm.tv/subject/370442
1964,132399,粉红豹,The Pink Phink,Movie,country_unknown,https://bgm.tv/subject/132399
1964,554201,疯狂的编年史,Bláznova kronika,Movie,country_unknown,https://bgm.tv/subject/554201
1964,263158,不收缩的老鼠杰瑞,The Unshrinkable Jerry Mouse,Movie,country_unknown,https://bgm.tv/subject/263158
1964,108818,人鱼,人魚,Movie,country_unknown,https://bgm.tv/subject/108818
1964,262984,小雪人喜欢我,Snowbody Loves Me,Movie,country_unknown,https://bgm.tv/subject/262984
1964,262916,捕鼠的烦恼,Much Ado About Mousing,Movie,country_unknown,https://bgm.tv/subject/262916
1964,262915,老鼠里有医生吗？,Is There a Doctor in the Mouse?,Movie,country_unknown,https://bgm.tv/subject/262915
1964,262911,猫上鼠下,The Cat Above and the Mouse Below,Movie,country_unknown,https://bgm.tv/subject/262911
1964,159666,吻 吻 吻,Kiss Kiss Kiss,Movie,country_unknown,https://bgm.tv/subject/159666
1964,159706,,堅々嶽夫婦庭訓,Movie,country_unknown,https://bgm.tv/subject/159706
1964,321248,卡农,Canon,Movie,country_unknown,https://bgm.tv/subject/321248
1964,36124,半夜鸡叫,半夜鸡叫,Movie,country_unknown,https://bgm.tv/subject/36124
1965,132400,线恋点,The Dot and the Line,Movie,country_unknown,https://bgm.tv/subject/132400
1965,264759,猫的痛感,The Cat's Me-Ouch,Movie,country_unknown,https://bgm.tv/subject/264759
1965,136861,贼喜鹊,La Gazza ladra,Movie,country_unknown,https://bgm.tv/subject/136861
1965,264758,老鼠年,The Year of the Mouse,Movie,country_unknown,https://bgm.tv/subject/264758
1965,136896,姑娘与大提琴演奏手,La Demoiselle et le violoncelliste,Movie,country_unknown,https://bgm.tv/subject/136896
1965,264757,猫的枷锁,Of Feline Bondage,Movie,country_unknown,https://bgm.tv/subject/264757
1965,263408,我为杰瑞狂,I'm Just Wild About Jerry,Movie,country_unknown,https://bgm.tv/subject/263408
1965,263406,作祟的老鼠,Haunted Mouse,Movie,country_unknown,https://bgm.tv/subject/263406
1965,263405,捕鼠兄弟,The Brothers Carry-Mouse-Off,Movie,country_unknown,https://bgm.tv/subject/263405
1965,263331,倒霉的一天,Bad Day at Cat Rock,Movie,country_unknown,https://bgm.tv/subject/263331
1965,136901,,'A',Movie,country_unknown,https://bgm.tv/subject/136901
1965,263330,汤姆的能量,Tom-ic Energy,Movie,country_unknown,https://bgm.tv/subject/263330
1965,263329,甜美的老鼠生活,"Ah, Sweet Mouse-Story of Life",Movie,country_unknown,https://bgm.tv/subject/263329
1965,274317,窗,窓,Movie,country_unknown,https://bgm.tv/subject/274317
1965,525145,西部和苏打,West and Soda,Movie,country_unknown,https://bgm.tv/subject/525145
1965,136859,手掌,Ruka,Movie,country_unknown,https://bgm.tv/subject/136859
1965,172851,福建工艺新花,福建工艺新花,Movie,country_unknown,https://bgm.tv/subject/172851
1965,172852,南方少年,南方少年,Movie,country_unknown,https://bgm.tv/subject/172852
1966,305801,格林奇是如何偷走圣诞节的,How the Grinch Stole Christmas,Movie,country_unknown,https://bgm.tv/subject/305801
1966,280942,陷入绝境的猫,Catty-Cornered,Movie,country_unknown,https://bgm.tv/subject/280942
1966,280941,汤姆小雪人,The A-Tom-Inable Snowman,Movie,country_unknown,https://bgm.tv/subject/280941
1966,280940,午后场的老鼠,Matinee Mouse,Movie,country_unknown,https://bgm.tv/subject/280940
1966,282510,霍比特人,The Hobbit,Movie,country_unknown,https://bgm.tv/subject/282510
1966,280939,鱼缸里的猫叫声,Filet Meow,Movie,country_unknown,https://bgm.tv/subject/280939
1966,280778,船上的猫,Puss 'n' Boats,Movie,country_unknown,https://bgm.tv/subject/280778
1966,266002,爱吾及鼠,"Love Me, Love My Mouse",Movie,country_unknown,https://bgm.tv/subject/266002
1966,435508,摇滚舞会,Rock 'n' Rodent,Movie,country_unknown,https://bgm.tv/subject/435508
1966,266001,四处窜的杰瑞,Jerry-Go-Round,Movie,country_unknown,https://bgm.tv/subject/266001
1966,266000,杰瑞杰瑞正相反,"Jerry, Jerry, Quite Contrary",Movie,country_unknown,https://bgm.tv/subject/266000
1966,264760,决斗者,Duel Personality,Movie,country_unknown,https://bgm.tv/subject/264760
1966,136998,恐色症,Chromophobia,Movie,country_unknown,https://bgm.tv/subject/136998
1966,137406,我的绿鳄鱼,Мой зеленый крокодил,Movie,country_unknown,https://bgm.tv/subject/137406
1966,132401,赫伯·阿尔帕特和提加纳·布拉斯双重特点,A Herb Alpert & the Tijuana Brass Double Feature,Movie,country_unknown,https://bgm.tv/subject/132401
1966,172862,上海工艺美术,上海工艺美术,Movie,country_unknown,https://bgm.tv/subject/172862
1966,506424,,Lapis,Movie,country_unknown,https://bgm.tv/subject/506424
1967,261197,高卢勇士传,Astérix le Gaulois,Movie,country_unknown,https://bgm.tv/subject/261197
1967,64098,森林王子,The Jungle Book,Movie,country_unknown,https://bgm.tv/subject/64098
1967,402691,,The Bear That Wasn’t,Movie,country_unknown,https://bgm.tv/subject/402691
1967,299198,,The Wacky World of Mother Goose,Movie,country_unknown,https://bgm.tv/subject/299198
1967,634502,恶梦时分,Purr-Chance to Dream,Movie,country_unknown,https://bgm.tv/subject/634502
1967,634499,进步与机械化,Advance and Be Mechanized,Movie,country_unknown,https://bgm.tv/subject/634499
1967,634496,快门窃听猫,Shutter Bugged Cat,Movie,country_unknown,https://bgm.tv/subject/634496
1967,634491,冲浪猫,Surf-Bored Cat,Movie,country_unknown,https://bgm.tv/subject/634491
1967,554202,被盗的飞船,Ukradená vzducholoď,Movie,country_unknown,https://bgm.tv/subject/554202
1967,634489,饥饿的老鼠,The Mouse from H.U.N.G.E.R.,Movie,country_unknown,https://bgm.tv/subject/634489
1967,634488,老鼠罐头工厂,Cannery Rodent,Movie,country_unknown,https://bgm.tv/subject/634488
1967,634485,操控老鼠的生活,Guided Mouse-ille,Movie,country_unknown,https://bgm.tv/subject/634485
1967,634483,太阳系的猫叫声,O-Solar Meow,Movie,country_unknown,https://bgm.tv/subject/634483
1967,79940,忍者武艺帐,忍者武芸帳,Movie,country_unknown,https://bgm.tv/subject/79940
1967,634478,如影随形,Cat and Dupli-cat,Movie,country_unknown,https://bgm.tv/subject/634478
1967,137418,马,Koń,Movie,country_unknown,https://bgm.tv/subject/137418
1967,167656,自然史,"Historia Naturae, Suita",Movie,country_unknown,https://bgm.tv/subject/167656
1967,274314,房间,部屋,Movie,country_unknown,https://bgm.tv/subject/274314
1967,274321,杀人狂时代,殺人狂時代,Movie,country_unknown,https://bgm.tv/subject/274321
1967,132402,盒子,The Box,Movie,country_unknown,https://bgm.tv/subject/132402
1968,113088,高卢勇士之女王任务,Astérix et Cléopâtre,Movie,country_unknown,https://bgm.tv/subject/113088
1968,646137,从一个老男人的脑中出来,I huvet på en gammal gubbe,Movie,country_unknown,https://bgm.tv/subject/646137
1968,6329,人鱼,Sirene,Movie,country_unknown,https://bgm.tv/subject/6329
1968,136864,双人舞,Pas de deux,Movie,country_unknown,https://bgm.tv/subject/136864
1968,136910,电影，电影，电影,"Фильм, фильм, фильм",Movie,country_unknown,https://bgm.tv/subject/136910
1968,137426,嗜好,Hobby,Movie,country_unknown,https://bgm.tv/subject/137426
1968,442681,缚日月记,A nap és a hold elrablása,Movie,country_unknown,https://bgm.tv/subject/442681
1969,116137,丁丁和太阳神庙,Tintin et le temple du solei,Movie,country_unknown,https://bgm.tv/subject/116137
1969,132404,做一只鸟真不易,It's Tough to Be a Bird,Movie,country_unknown,https://bgm.tv/subject/132404
1969,646140,,A Christmas Carol,Movie,country_unknown,https://bgm.tv/subject/646140
1969,378877,洪吉童将军,홍길동 장곤,Movie,country_unknown,https://bgm.tv/subject/378877
1969,113093,怪兽大聚会,Mad Monster Party?,Movie,country_unknown,https://bgm.tv/subject/113093
1969,137411,红死病的面具,Mask of the Red Death,Movie,country_unknown,https://bgm.tv/subject/137411
1969,137412,,Per Aspera Ad Astra,Movie,country_unknown,https://bgm.tv/subject/137412
1969,137413,,Passing Days,Movie,country_unknown,https://bgm.tv/subject/137413
1969,364965,鳄鱼根纳,Крокодил Гена,Movie,country_unknown,https://bgm.tv/subject/364965
1969,339710,小熊维尼,Винни-Пух,Movie,country_unknown,https://bgm.tv/subject/339710
1970,66230,猫儿历险记,The Aristocats,Movie,country_unknown,https://bgm.tv/subject/66230
1970,113261,幻象天堂,The Phantom Tollbooth,Movie,country_unknown,https://bgm.tv/subject/113261
1970,137396,,Henry 9 'til 5,Movie,country_unknown,https://bgm.tv/subject/137396
1970,158369,,Ere erera baleibu izik subua aruaren,Movie,country_unknown,https://bgm.tv/subject/158369
1970,263990,小约翰·贝利的故事,The Story of Little John Bailey,Movie,country_unknown,https://bgm.tv/subject/263990
1970,315586,犬儒戏画,犬儒戯画,Movie,country_unknown,https://bgm.tv/subject/315586
1970,132405,总是对的就是对的吗？,Is It Always Right to Be Right?,Movie,country_unknown,https://bgm.tv/subject/132405
1970,629222,我们能做到,Это в наших силах,Movie,country_unknown,https://bgm.tv/subject/629222
1971,347800,小熊维尼去做客,Винни-Пух идёт в гости,Movie,country_unknown,https://bgm.tv/subject/347800
1971,136900,控诉,Apel,Movie,country_unknown,https://bgm.tv/subject/136900
1971,137410,,The Time of Vampires,Movie,country_unknown,https://bgm.tv/subject/137410
1971,137421,路,Droga,Movie,country_unknown,https://bgm.tv/subject/137421
1971,167431,荒唐童话,Zvahlav aneb Saticky Slameného Huberta,Movie,country_unknown,https://bgm.tv/subject/167431
1971,132406,嘎喳嘎喳的鸟,The Crunch Bird,Movie,country_unknown,https://bgm.tv/subject/132406
1971,431540,阿里巴巴与四十大盗,Alì Babà,Movie,country_unknown,https://bgm.tv/subject/431540
1971,506475,,Macka,Movie,country_unknown,https://bgm.tv/subject/506475
1971,506478,热狗如何运行,Jak dziala jamniczek,Movie,country_unknown,https://bgm.tv/subject/506478
1971,645929,,Metadata,Movie,country_unknown,https://bgm.tv/subject/645929
1972,116138,丁丁在鲨鱼湖,Tintin et le lac aux requins,Movie,country_unknown,https://bgm.tv/subject/116138
1972,112405,怪猫菲力兹,Fritz the Cat,Movie,country_unknown,https://bgm.tv/subject/112405
1972,18177,鬼,鬼,Movie,country_unknown,https://bgm.tv/subject/18177
1972,136885,吃草的人,Damon the Mower,Movie,country_unknown,https://bgm.tv/subject/136885
1972,188904,莱昂纳多的日记,Leonarduv denik,Movie,country_unknown,https://bgm.tv/subject/188904
1972,407614,法厄同：太阳之子,Фаэтон сын Солнца,Movie,country_unknown,https://bgm.tv/subject/407614
1972,473350,,Tableaux D’une Exposition,Movie,country_unknown,https://bgm.tv/subject/473350
1973,66231,罗宾汉,Robin Hood,Movie,country_unknown,https://bgm.tv/subject/66231
1973,112691,车水马龙,Heavy Traffic,Movie,country_unknown,https://bgm.tv/subject/112691
1973,443531,蒙哥里历险记,Маугли,Movie,country_unknown,https://bgm.tv/subject/443531
1973,113090,史努比，回家吧,"Snoopy, Come Home",Movie,country_unknown,https://bgm.tv/subject/113090
1973,525140,勇者约翰,János vitéz,Movie,country_unknown,https://bgm.tv/subject/525140
1973,132409,弗兰克影片,Frank Film,Movie,country_unknown,https://bgm.tv/subject/132409
1973,112500,飞天万能床,Bedknobs and Broomsticks,Movie,country_unknown,https://bgm.tv/subject/112500
1973,315589,旅行,旅,Movie,country_unknown,https://bgm.tv/subject/315589
1973,159699,南无一病息灾,南無一病息災,Movie,country_unknown,https://bgm.tv/subject/159699
1974,554200,一千零一夜,Pohádky tisíce a jedné noci,Movie,country_unknown,https://bgm.tv/subject/554200
1974,646142,鲁滨逊丛林历险,Il racconto della giungla,Movie,country_unknown,https://bgm.tv/subject/646142
1974,136866,饥饿,Hunger,Movie,country_unknown,https://bgm.tv/subject/136866
1974,136888,咖啡吧,Café Bar,Movie,country_unknown,https://bgm.tv/subject/136888
1974,136995,远航未来,Voyage to next,Movie,country_unknown,https://bgm.tv/subject/136995
1974,137393,,The Legend of John Henry,Movie,country_unknown,https://bgm.tv/subject/137393
1974,137402,罗西先生在威尼斯,Il Signor Rossi a Venezia,Movie,country_unknown,https://bgm.tv/subject/137402
1974,132410,星期一闭馆,Closed Mondays,Movie,country_unknown,https://bgm.tv/subject/132410
1974,172881,骏马飞腾,骏马飞腾,Movie,country_unknown,https://bgm.tv/subject/172881
1975,361981,品契克利夫大奖赛,品契克利夫大奖赛,Movie,country_unknown,https://bgm.tv/subject/361981
1975,112694,浣熊皮,Coonskin,Movie,country_unknown,https://bgm.tv/subject/112694
1975,114748,宇宙圆盘大战争,宇宙円盤大戦争,Movie,country_unknown,https://bgm.tv/subject/114748
1975,579053,封神榜,封神榜,Movie,country_unknown,https://bgm.tv/subject/579053
1975,136904,步骤,Le Pas,Movie,country_unknown,https://bgm.tv/subject/136904
1975,137394,两千岁老人,The 2000 Year Old Man,Movie,country_unknown,https://bgm.tv/subject/137394
1975,473330,石头,Stone,Movie,country_unknown,https://bgm.tv/subject/473330
1975,132411,伟大,Great,Movie,country_unknown,https://bgm.tv/subject/132411
1975,506450,,Hitlerpinochet,Movie,country_unknown,https://bgm.tv/subject/506450
1975,581440,人人爱旋转木马,Everybody Rides the Carousel,Movie,country_unknown,https://bgm.tv/subject/581440
1976,261198,高卢勇士之十二个任务,Les douze travaux d'Astérix,Movie,country_unknown,https://bgm.tv/subject/261198
1976,345700,坚定的锡兵,Стойкий оловяный солдатик,Movie,country_unknown,https://bgm.tv/subject/345700
1976,646147,,Los tres reyes magos,Movie,country_unknown,https://bgm.tv/subject/646147
1976,137383,,Hot Stuff,Movie,country_unknown,https://bgm.tv/subject/137383
1976,646146,土匪朱尔科,Zbojník Jurko,Movie,country_unknown,https://bgm.tv/subject/646146
1976,136839,街区,The Street,Movie,country_unknown,https://bgm.tv/subject/136839
1976,137398,,The Butterfly Ball,Movie,country_unknown,https://bgm.tv/subject/137398
1976,310520,机器人跆拳V：宇宙大战,로보트 태권V 제2탄 - 우주작전,Movie,country_unknown,https://bgm.tv/subject/310520
1976,112818,道成寺,道成寺,Movie,country_unknown,https://bgm.tv/subject/112818
1976,132412,闲暇,Leisure,Movie,country_unknown,https://bgm.tv/subject/132412
1976,381060,杰克造的房子,"Дом, который построил Джек",Movie,country_unknown,https://bgm.tv/subject/381060
1976,646180,,Thạch Sanh,Movie,country_unknown,https://bgm.tv/subject/646180
1977,538401,多特和袋鼠,Dot and the Kangaroo,Movie,country_unknown,https://bgm.tv/subject/538401
1977,646148,波列与罗列,Wielka podróz Bolka i Lolka,Movie,country_unknown,https://bgm.tv/subject/646148
1977,438498,史努比的惊险夏令营,"Race for Your Life, Charlie Brown",Movie,country_unknown,https://bgm.tv/subject/438498
1977,112404,从容的快板,Allegro non troppo,Movie,country_unknown,https://bgm.tv/subject/112404
1977,66236,救难小英雄,The Rescuers,Movie,country_unknown,https://bgm.tv/subject/66236
1977,136994,变形记,The Metamorphosis of Mr. Samsa,Movie,country_unknown,https://bgm.tv/subject/136994
1977,130529,魔界传奇,Wizards,Movie,country_unknown,https://bgm.tv/subject/130529
1977,36441,月亮,Der Mond,Movie,country_unknown,https://bgm.tv/subject/36441
1977,137400,迷宫,Dedalo,Movie,country_unknown,https://bgm.tv/subject/137400
1977,137401,,Fantabiblical,Movie,country_unknown,https://bgm.tv/subject/137401
1977,274319,漫画,MANGA,Movie,country_unknown,https://bgm.tv/subject/274319
1977,310523,机器人跆拳V：水下突击队,로보트 태권브이 제3탄 - 수중 특공대,Movie,country_unknown,https://bgm.tv/subject/310523
1977,410008,与枕头作战的玛莎,Как Маша поссорилась с подушкой,Movie,country_unknown,https://bgm.tv/subject/410008
1977,132413,沙丘城堡,Le Château de sable,Movie,country_unknown,https://bgm.tv/subject/132413
1977,172906,新花迎春,新花迎春,Movie,country_unknown,https://bgm.tv/subject/172906
1977,506447,肖像,Portret,Movie,country_unknown,https://bgm.tv/subject/506447
1978,112693,指环王,The Lord of the Rings,Movie,country_unknown,https://bgm.tv/subject/112693
1978,112501,妙妙龙,Pete's Dragon,Movie,country_unknown,https://bgm.tv/subject/112501
1978,646149,,Tadhana,Movie,country_unknown,https://bgm.tv/subject/646149
1978,36442,生活！,Lebe!,Movie,country_unknown,https://bgm.tv/subject/36442
1978,136868,萨蒂迷狂,Satiemania,Movie,country_unknown,https://bgm.tv/subject/136868
1978,137386,一无所有,Tout rien,Movie,country_unknown,https://bgm.tv/subject/137386
1978,137397,愚比,Ubu,Movie,country_unknown,https://bgm.tv/subject/137397
1978,137416,学走路,Skola Hodanja,Movie,country_unknown,https://bgm.tv/subject/137416
1978,310522,机器人跆拳V与黄金之翼123,로보트 태권V와 황금날개의 대결,Movie,country_unknown,https://bgm.tv/subject/310522
1978,310524,黄金之翼1.2.3,황금날개 1.2.3.,Movie,country_unknown,https://bgm.tv/subject/310524
1978,18870,画廊一夜,画廊一夜,Movie,country_unknown,https://bgm.tv/subject/18870
1978,172909,两张布告,两张布告,Movie,country_unknown,https://bgm.tv/subject/172909
1978,172914,象不象,象不象,Movie,country_unknown,https://bgm.tv/subject/172914
1978,581423,,Trællene,Movie,country_unknown,https://bgm.tv/subject/581423
1978,646150,,La pobre viejecita,Movie,country_unknown,https://bgm.tv/subject/646150
1979,111308,宇宙黑骑士,우주흑기사,Movie,country_unknown,https://bgm.tv/subject/111308
1979,137430,火宅,火宅,Movie,country_unknown,https://bgm.tv/subject/137430
1979,646153,,Seitsemän veljestä,Movie,country_unknown,https://bgm.tv/subject/646153
1979,112696,疯狂兔宝宝,The Bugs Bunny/Road Runner Movie,Movie,country_unknown,https://bgm.tv/subject/112696
1979,530671,,SF西遊記スタージンガー悪魔のバリバリゾーン,Movie,archive_subject_missing,https://bgm.tv/subject/530671
1979,136847,女妖,Harpya,Movie,country_unknown,https://bgm.tv/subject/136847
1979,646152,,สุดสาคร,Movie,country_unknown,https://bgm.tv/subject/646152
1979,137424,反射弧,Refleksy,Movie,country_unknown,https://bgm.tv/subject/137424
1979,36243,熊猫百货商店,熊猫百货商店,Movie,country_unknown,https://bgm.tv/subject/36243
1979,36443,变形1,Metamorphosen 1,Movie,country_unknown,https://bgm.tv/subject/36443
1979,172921,奇怪的球赛,奇怪的球赛,Movie,country_unknown,https://bgm.tv/subject/172921
1979,581418,,The Revolt of the Thralls,Movie,country_unknown,https://bgm.tv/subject/581418
1979,646151,,Elpidio Valdés,Movie,country_unknown,https://bgm.tv/subject/646151
1980,538408,卡拉巴特,Carodejuv ucen,Movie,country_unknown,https://bgm.tv/subject/538408
1980,36446,乌尔姆的裁缝,Der Schneider von Ulm,Movie,country_unknown,https://bgm.tv/subject/36446
1980,136894,三个发明家,Les trois inventeurs,Movie,country_unknown,https://bgm.tv/subject/136894
1980,189291,陆地、海洋和天空,"Ter land, ter zee en in de lucht",Movie,country_unknown,https://bgm.tv/subject/189291
1980,503883,泡泡浴,Habfürdö,Movie,country_unknown,https://bgm.tv/subject/503883
1980,78491,丁丁战猴王,丁丁战猴王,Movie,country_unknown,https://bgm.tv/subject/78491
1980,581420,,Trællenes børn,Movie,country_unknown,https://bgm.tv/subject/581420
1980,654483,缺失的环节,Le Chaînon manquant,Movie,country_unknown,https://bgm.tv/subject/654483
1981,113087,宇宙奇趣录,Heavy Metal,Movie,country_unknown,https://bgm.tv/subject/113087
1981,616931,老夫子,老夫子,Movie,country_unknown,https://bgm.tv/subject/616931
1981,66237,狐狸与猎狗,The Fox and the Hound,Movie,country_unknown,https://bgm.tv/subject/66237
1981,109610,美国金曲,American Pop,Movie,country_unknown,https://bgm.tv/subject/109610
1981,36444,,Einmart,Movie,country_unknown,https://bgm.tv/subject/36444
1981,321503,现世欢乐的花园,The Garden of Earthly Delights,Movie,country_unknown,https://bgm.tv/subject/321503
1981,36238,咕咚来了,咕咚来了,Movie,country_unknown,https://bgm.tv/subject/36238
1981,69467,人参果,人参果,Movie,country_unknown,https://bgm.tv/subject/69467
1981,78492,崂山道士,崂山道士,Movie,country_unknown,https://bgm.tv/subject/78492
1981,431538,空间,SPACY,Movie,country_unknown,https://bgm.tv/subject/431538
1981,506441,同步接触,Synch Touch,Movie,country_unknown,https://bgm.tv/subject/506441
1981,653953,杜子春 学研版,杜子春,Movie,country_unknown,https://bgm.tv/subject/653953
1982,210495,雪人,The Snowman,Movie,country_unknown,https://bgm.tv/subject/210495
1982,113268,最后的独角兽,The Last Unicorn,Movie,country_unknown,https://bgm.tv/subject/113268
1982,210920,未来战争 198X年,FUTURE WAR 198X年,Movie,country_unknown,https://bgm.tv/subject/210920
1982,113095,疫病犬,The Plague Dogs,Movie,country_unknown,https://bgm.tv/subject/113095
1982,112403,鼠谭秘奇,Mrs. Frisby and the Rats of NIMH：The Secret of NIMH,Movie,country_unknown,https://bgm.tv/subject/112403
1982,616933,老夫子水虎传,老夫子水虎傳,Movie,country_unknown,https://bgm.tv/subject/616933
1982,646157,,Планетата на съкровищата,Movie,country_unknown,https://bgm.tv/subject/646157
1982,370417,迷墙,Pink Floyd: The Wall,Movie,country_unknown,https://bgm.tv/subject/370417
1982,54295,浮浪云,浮浪雲,Movie,country_unknown,https://bgm.tv/subject/54295
1982,80823,千年女王,1000年女王,Movie,country_unknown,https://bgm.tv/subject/80823
1982,137392,千面秀,The Great Cognito,Movie,country_unknown,https://bgm.tv/subject/137392
1982,248139,老唱片,老唱片,Movie,country_unknown,https://bgm.tv/subject/248139
1982,310525,超合金机器人苏拉123,초합금 로보트 쏠라 123,Movie,country_unknown,https://bgm.tv/subject/310525
1982,345584,驼背穷人传奇,La légende du pauvre bossu,Movie,country_unknown,https://bgm.tv/subject/345584
1982,112702,白马之子,Fehérlófia,Movie,country_unknown,https://bgm.tv/subject/112702
1982,153188,狼来了,狼来了,Movie,country_unknown,https://bgm.tv/subject/153188
1982,506460,巴氏体,Babobilicons,Movie,country_unknown,https://bgm.tv/subject/506460
1982,646155,公主与河流,الأميرة والنهر,Movie,country_unknown,https://bgm.tv/subject/646155
1983,616937,山.T.老夫子,山.T.老夫子,Movie,country_unknown,https://bgm.tv/subject/616937
1983,367159,太空高达V,스페이스 간담 V,Movie,country_unknown,https://bgm.tv/subject/367159
1983,113270,火冰历险,Fire and Ice,Movie,country_unknown,https://bgm.tv/subject/113270
1983,637457,,Winnie the Pooh and a Day for Eeyore,Movie,country_unknown,https://bgm.tv/subject/637457
1983,485863,小叮当大战机器人,小叮噹大戰機器人,Movie,country_unknown,https://bgm.tv/subject/485863
1983,646158,,Als Je Begrijpt Wat Ik Bedoel,Movie,country_unknown,https://bgm.tv/subject/646158
1983,137425,黑色小红帽,Czarny kapturek,Movie,country_unknown,https://bgm.tv/subject/137425
1983,147757,,Daliás idök,Movie,country_unknown,https://bgm.tv/subject/147757
1983,132414,纽约冰淇淋,Sundae in New York,Movie,country_unknown,https://bgm.tv/subject/132414
1983,466306,四签名,Sherlock Holmes and the Sign of Four,Movie,country_unknown,https://bgm.tv/subject/466306
1983,466307,恐怖谷,Sherlock Holmes and the Valley of Fear,Movie,country_unknown,https://bgm.tv/subject/466307
1983,466308,血字的研究,Sherlock Holmes and a Study in Scarlet,Movie,country_unknown,https://bgm.tv/subject/466308
1983,466309,巴斯克维尔的诅咒,Sherlock Holmes and the Baskerville Curse,Movie,country_unknown,https://bgm.tv/subject/466309
1983,640077,,Fatih Sultan Mehmet,Movie,country_unknown,https://bgm.tv/subject/640077
1983,657219,,Abra Cadabra,Movie,country_unknown,https://bgm.tv/subject/657219
1984,372304,,OPENING ANIME COLLECTION,OVA,country_unknown,https://bgm.tv/subject/372304
1984,592881,山妖与牛夫,牛方と山んば,OVA,archive_subject_missing,https://bgm.tv/subject/592881
1984,581414,大力士与萨利,Samson og Sally,Movie,country_unknown,https://bgm.tv/subject/581414
1984,372306,,URACON Ⅲ OPENING ANIMATION,Movie,country_unknown,https://bgm.tv/subject/372306
1984,132416,安娜与贝拉,Anna & Bella,Movie,country_unknown,https://bgm.tv/subject/132416
1984,372287,,AWAKE,Movie,country_unknown,https://bgm.tv/subject/372287
1984,137391,,The Soldier's Tale,Movie,country_unknown,https://bgm.tv/subject/137391
1984,147771,隐身儿童,L'enfant invisible,Movie,country_unknown,https://bgm.tv/subject/147771
1984,463349,灾难,Karastrofy,Movie,country_unknown,https://bgm.tv/subject/463349
1984,132415,哑迷,Charade,Movie,country_unknown,https://bgm.tv/subject/132415
